od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,service_capacity_ratio,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required,reference_path_used
2->8,2,8,394,401,2.0,0.15,0.3,1.7,0.0,False,1.0,0.0,2430.0740334797915,2322.0523551919505,2786.4628262303404,0.0,464.41047103839014,True
3->1,3,1,395,393,4.0,0.15,0.6,3.4,1.0,True,0.1980912163023397,0.8019087836976603,277.63977134684495,277.63977134684495,333.16772561621394,54.998,55.52795426936899,False
3->10,3,10,395,408,2.0,0.15,0.3,1.7,1.0,True,0.14921222252148775,0.8507877774785122,1199.5096983280591,1071.614625785588,1285.9375509427057,159.898,214.32292515711762,False
3->11,3,11,395,409,5.0,0.15,0.75,4.25,0.0,False,1.0,0.0,720.2271685794831,697.387,836.8643999999999,0.0,139.4774,True
3->12,3,12,395,410,6.0,0.15,0.8999999999999999,5.1,1.0,True,0.11781098059944754,0.8821890194005525,843.570168579483,822.509,987.0108,96.900591841871,164.5018,False
3->13,3,13,395,412,8.0,0.85,6.8,1.2000000000000002,1.0,True,0.16324246557447122,0.8367575344255288,593.599168579483,593.599168579483,712.3190022953796,96.900591841871,118.71983371589661,False
3->14,3,14,395,414,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.15860426831540603,0.8413957316845939,1187.759168579483,1171.807,1406.1684,185.853591841871,234.3614,False
3->2,3,2,395,394,10.0,0.85,8.5,1.5000000000000002,0.0,False,1.0,0.0,920.332807479788,920.332807479788,1104.3993689757456,0.0,184.06656149595761,True
3->4,3,4,395,396,10.0,0.15,1.5,8.5,1.0,True,0.16972510987270192,0.830274890127298,298.099674455639,298.099674455639,357.7196093467668,50.595,59.6199348911278,False
3->5,3,5,395,397,19.0,0.15,2.85,16.15,1.0,True,0.17503365857995565,0.8249663414200443,659.54171864188,659.54171864188,791.450062370256,115.442,131.90834372837602,False
3->6,3,6,395,398,7.0,0.15,1.05,5.95,1.0,True,0.1960889731443659,0.8039110268556341,1133.3225978762277,1095.818673336721,1314.9824080040653,214.87795840701898,219.16373466734422,False
3->7,3,7,395,399,14.0,0.15,2.1,11.9,1.0,True,0.18853222951304438,0.8114677704869556,1488.209169780593,1488.209169780593,1785.8510037367114,280.575392760492,297.6418339561186,False
3->8,3,8,395,401,2.0,0.15,0.3,1.7,0.0,False,1.0,0.0,1640.276906791244,1479.293220362424,1775.151864434909,0.0,295.8586440724848,True
3->9,3,9,395,407,3.0,0.15,0.44999999999999996,2.55,1.0,True,0.13752101367099967,0.8624789863290003,1222.648017277341,1196.846848697858,1436.2162184374295,164.591591841871,239.3693697395716,False
4->1,4,1,396,393,4.0,0.15,0.6,3.4,1.0,True,0.18546706340334315,0.8145329365966568,575.739445802484,569.335590170867,683.2027082050404,105.59299999999999,113.86711803417342,False
4->10,4,10,396,408,4.0,0.15,0.6,3.4,1.0,True,0.12072803999145029,0.8792719600085497,986.3540238724199,905.365481024463,1086.4385772293556,109.303,181.0730962048926,False
