id,name,geometry
392,1312,"POLYGON ((-93.2625333995241 44.968885468014456, -93.26254246203318 44.96806112356723, -93.26255232448425 44.96716478293566, -93.26254810335354 44.96628836351509, -93.26254110714507 44.96606949644563, -93.26253266993417 44.96580546794114, -93.2625302176052 44.96572874969415, -93.26765337902073 44.96573020964186, -93.2682828631913 44.965721365419036, -93.26919434722181 44.96581872128923, -93.26938068164814 44.96587489358479, -93.2698081093594 44.96600374536929, -93.26973019039912 44.967931247752595, -93.26970721398287 44.96831846265599, -93.26937897570804 44.96969189824418, -93.26926550041911 44.97008461592491, -93.26918415419634 44.97001504238771, -93.2689952995429 44.96989893160073, -93.26876887981882 44.969856899740236, -93.26794726300392 44.96987945388409, -93.26733852857046 44.96959959756067, -93.26651098813775 44.969249835343746, -93.26614473939635 44.96914717031895, -93.26582803399585 44.96907298088561, -93.26510870289124 44.968942530955225, -93.26300610690613 44.96893689251326, -93.2625333995241 44.968885468014456))"
393,1313,"POLYGON ((-93.26295467107607 44.970365321903344, -93.26282500849793 44.97004693969113, -93.26262634746675 44.969731585832676, -93.26256338399874 44.96951284758505, -93.2625333995241 44.968885468014456, -93.26300610690613 44.96893689251326, -93.26510870289124 44.968942530955225, -93.26582803399585 44.96907298088561, -93.26614473939635 44.96914717031895, -93.26651098813775 44.969249835343746, -93.26733852857046 44.96959959756067, -93.26794726300392 44.96987945388409, -93.26876887981882 44.969856899740236, -93.2689952995429 44.96989893160073, -93.26918415419634 44.97001504238771, -93.26926550041911 44.97008461592491, -93.26935500059751 44.97016116470627, -93.26943404314144 44.97024024063737, -93.2696427405505 44.97043040269058, -93.26979198663624 44.970551920736845, -93.27012454067325 44.970743112530954, -93.27137728444981 44.97125031681177, -93.2705378557309 44.972247028050944, -93.26982487469922 44.97318028005221, -93.26976929300776 44.97315558032517, -93.26295467107607 44.970365321903344))"
394,1314,"POLYGON ((-93.25351923945524 44.968239687566204, -93.25373258261305 44.96760514327849, -93.25388277097494 44.967306779205025, -93.25402637721666 44.96712004149599, -93.25422221431562 44.96686793739963, -93.25445768483526 44.966671672156515, -93.25478818956192 44.96642167587177, -93.25505327052497 44.96622432969879, -93.25527288478091 44.96611205243432, -93.25551308246064 44.9659892503902, -93.2557496572849 44.9658720839897, -93.25637927437886 44.965875810633, -93.2569291753906 44.96585402511821, -93.25740670736518 44.9658324000903, -93.25790592449304 44.96580558576614, -93.25831108967327 44.96578412035662, -93.2587116810464 44.965768644787026, -93.2625302176052 44.96572874969415, -93.26253266993417 44.96580546794114, -93.26254110714507 44.96606949644563, -93.26254810335354 44.96628836351509, -93.26255232448425 44.96716478293566, -93.26254246203318 44.96806112356723, -93.2625333995241 44.968885468014456, -93.26256338399874 44.96951284758505, -93.26262634746675 44.969731585832676, -93.26282500849793 44.97004693969113, -93.26295467107607 44.970365321903344, -93.26215547771726 44.97131758393402, -93.2613104790685 44.9722910186416, -93.25999195448064 44.971685896142176, -93.25861823528992 44.9711237903589, -93.25726482667119 44.97054433845608, -93.25590542650514 44.96995968614069, -93.25492689758272 44.96954418835336, -93.25456175221389 44.969389137238146, -93.25425977751694 44.96921549748134, -93.25399931495595 44.968991313929294, -93.2539035117896 44.9688848859515, -93.25377837780495 44.96873934647072, -93.25369132709224 44.96855621822397, -93.25358286405317 44.9684128325684, -93.25351923945524 44.968239687566204))"
395,1315,"POLYGON ((-93.2613104790685 44.9722910186416, -93.26215547771726 44.97131758393402, -93.26295467107607 44.970365321903344, -93.26976929300776 44.97315558032517, -93.26982487469922 44.97318028005221, -93.26978286852317 44.97323526249551, -93.26897604897025 44.97418883926364, -93.26818368727933 44.97515845913557, -93.2667837843713 44.97458286821857, -93.2654106608518 44.97400994165163, -93.2640454908134 44.973436980128774, -93.2626771825422 44.972864009447136, -93.2613104790685 44.9722910186416))"
396,1316,"POLYGON ((-93.26004048695701 44.973860193488, -93.26054763978746 44.97324393487696, -93.2613104790685 44.9722910186416, -93.2626771825422 44.972864009447136, -93.2640454908134 44.973436980128774, -93.2654106608518 44.97400994165163, -93.2667837843713 44.97458286821857, -93.26818368727933 44.97515845913557, -93.2673597784648 44.97614410408528, -93.26653340767996 44.977098268801704, -93.26516175137921 44.976499563448286, -93.26380918710123 44.975954301536284, -93.26243336605388 44.97536845292558, -93.26107473473061 44.97478259339506, -93.2604756051763 44.97453526409531, -93.2603486945111 44.97442277863196, -93.26026665639318 44.97438482968593, -93.26015764323263 44.974264966615124, -93.2600920715313 44.974157322805105, -93.26006186809795 44.974072124947, -93.26005086922491 44.97397651848567, -93.26004048695701 44.973860193488))"
397,1317,"POLYGON ((-93.2572510814998 44.97714850140872, -93.25727641083091 44.977117677441555, -93.2580909546956 44.97614808885087, -93.25893839826743 44.97517533922433, -93.25980145166658 44.9741764635329, -93.26004048695701 44.973860193488, -93.26005086922491 44.97397651848567, -93.26006186809795 44.974072124947, -93.2600920715313 44.974157322805105, -93.26015764323263 44.974264966615124, -93.26026665639318 44.97438482968593, -93.2603486945111 44.97442277863196, -93.2604756051763 44.97453526409531, -93.26107473473061 44.97478259339506, -93.26243336605388 44.97536845292558, -93.26380918710123 44.975954301536284, -93.26516175137921 44.976499563448286, -93.26653340767996 44.977098268801704, -93.26570670325574 44.978042133512076, -93.2648939048714 44.9790117324404, -93.26409826284505 44.9799559362315, -93.26404710134942 44.98002581070681, -93.26132634039672 44.97886404294362, -93.2572510814998 44.97714850140872))"
398,1318,"POLYGON ((-93.24951998276283 44.97385080098918, -93.2499835198206 44.97343927052443, -93.25037563304387 44.97301896840197, -93.2511334642279 44.972150452547496, -93.25144701934575 44.97178624321887, -93.25145629923419 44.97177508734812, -93.25230912732498 44.970749712768004, -93.25251795082751 44.9704603004896, -93.25271376492594 44.970198880334806, -93.25283111946149 44.970012200509665, -93.25296135997759 44.969769566348646, -93.25309102552117 44.96939643886994, -93.25351923945524 44.968239687566204, -93.25358286405317 44.9684128325684, -93.25369132709224 44.96855621822397, -93.25377837780495 44.96873934647072, -93.2539035117896 44.9688848859515, -93.25399931495595 44.968991313929294, -93.25425977751694 44.96921549748134, -93.25456175221389 44.969389137238146, -93.25492689758272 44.96954418835336, -93.25590542650514 44.96995968614069, -93.25726482667119 44.97054433845608, -93.25861823528992 44.9711237903589, -93.25999195448064 44.971685896142176, -93.2613104790685 44.9722910186416, -93.26054763978746 44.97324393487696, -93.26004048695701 44.973860193488, -93.25980145166658 44.9741764635329, -93.25893839826743 44.97517533922433, -93.2580909546956 44.97614808885087, -93.25727641083091 44.977117677441555, -93.2572510814998 44.97714850140872, -93.25040354715081 44.974265380989166, -93.25013147818167 44.974111942723844, -93.24966365061704 44.9739109370261, -93.24963118724028 44.973896988324, -93.24960878828357 44.97388768603697, -93.24951998276283 44.97385080098918))"
399,1319,"POLYGON ((-93.24504088675654 44.97878633451898, -93.24531932166417 44.97812549513809, -93.24549983286039 44.97769706036098, -93.24550178871381 44.977692337327994, -93.24552753357345 44.977630152239605, -93.2456144813274 44.9773915266984, -93.2457839250752 44.97709288932145, -93.24599272463249 44.97678484808128, -93.24621481306009 44.97651406212912, -93.24669886006411 44.976084252186226, -93.24727442386829 44.97556103209522, -93.2477064491018 44.97525250410015, -93.24849181965911 44.97466357628804, -93.24925099035616 44.97409334147301, -93.24951998276283 44.97385080098918, -93.24960878828357 44.97388768603697, -93.24963118724028 44.973896988324, -93.24966365061704 44.9739109370261, -93.25013147818167 44.974111942723844, -93.25040354715081 44.974265380989166, -93.2572510814998 44.97714850140872, -93.26132634039672 44.97886404294362, -93.26404710134942 44.98002581070681, -93.26400154118711 44.98008803854955, -93.26324381516686 44.9809869767357, -93.26243216265344 44.98197624768, -93.26187693658457 44.982306617456246, -93.26177448007329 44.98236842391681, -93.26168588444574 44.98242186811654, -93.26105055933112 44.98269788171756, -93.25997287000614 44.98303701128697, -93.2576505353607 44.9821837793462, -93.2514688981689 44.97952958848324, -93.24858740559273 44.979318398729376, -93.24539844190214 44.97886130207929, -93.24504088675654 44.97878633451898))"
401,1320,"POLYGON ((-93.25997287000614 44.98303701128697, -93.26105055933112 44.98269788171756, -93.26168588444574 44.98242186811654, -93.26177448007329 44.98236842391681, -93.26187693658457 44.982306617456246, -93.26243216265344 44.98197624768, -93.26324381516686 44.9809869767357, -93.26400154118711 44.98008803854955, -93.26404710134942 44.98002581070681, -93.26540673659517 44.980603924526626, -93.26689279509473 44.98124543897402, -93.26813687039812 44.98178245678583, -93.26899455701945 44.98214767642443, -93.26788935609554 44.98297460839242, -93.2667196597311 44.983784146185045, -93.26549731323514 44.9845987507666, -93.26516969641904 44.984757967861974, -93.26468481435528 44.984992117160544, -93.26386193566556 44.98532680721411, -93.26350690722792 44.98507037998896, -93.26047465513676 44.98322136039863, -93.25997287000614 44.98303701128697))"
402,1321,"POLYGON ((-93.26386193566556 44.98532680721411, -93.26468481435528 44.984992117160544, -93.26516969641904 44.984757967861974, -93.26549731323514 44.9845987507666, -93.2667196597311 44.983784146185045, -93.26788935609554 44.98297460839242, -93.26899455701945 44.98214767642443, -93.27020290542518 44.9829045997115, -93.2713113441686 44.98374069823139, -93.27178184812259 44.98407249871905, -93.27242454306248 44.984525719048094, -93.27382246877734 44.98547424035975, -93.27317620647709 44.98571668200064, -93.27256761822257 44.985943184835214, -93.27221937446333 44.98605401925357, -93.27165568408515 44.98623342001631, -93.2709952992824 44.9864060259557, -93.27058730410799 44.98651262580909, -93.26731755879153 44.98736686555098, -93.2672278140482 44.98739030960318, -93.26619803876787 44.98765931976505, -93.26518789675 44.98628447445201, -93.26487447934697 44.98605811682258, -93.26405355372475 44.98546520501318, -93.26386193566556 44.98532680721411))"
