od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required
12->14,12,14,410,414,5.0,0.85,4.25,0.7500000000000001,1.0,True,0.0,593.491,593.491,712.1891999999999,0.0,118.6982
12->2,12,2,410,394,2.0,0.15,0.3,1.7,1.0,True,0.0,1763.9029760592707,1704.6526343119838,2045.5831611743804,0.0,340.9305268623968
12->3,12,3,410,395,4.0,0.15,0.6,3.4,1.0,True,0.0,843.5701685794829,822.509,987.0108,0.0,164.5018
12->4,12,4,410,396,7.0,0.15,1.05,5.95,1.0,True,0.0,908.58,774.25,929.0999999999999,0.0,154.85000000000002
12->5,12,5,410,397,18.0,0.15,2.6999999999999997,15.299999999999999,1.0,True,0.0,1354.966044186241,1207.545847882601,1449.0550174591212,0.0,241.5091695765202
12->6,12,6,410,398,6.0,0.15,0.8999999999999999,5.1,1.0,True,0.024492133491121455,1979.7228639516447,1670.046425919881,2004.055711103857,40.903,334.0092851839762
12->7,12,7,410,399,15.0,0.15,2.25,12.75,1.0,True,0.0,2331.7793383600756,2026.0677514108777,2431.281301693053,0.0,405.21355028217556
12->8,12,8,410,401,3.0,0.15,0.44999999999999996,2.55,0.0,False,1.0,1090.7276236350742,1074.1229439827641,1288.9475327793168,0.0,214.82458879655283
12->9,12,9,410,407,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.0,379.07784869785803,379.07784869785803,454.8934184374296,0.0,75.81556973957161
13->1,13,1,412,393,6.0,0.85,5.1,0.9000000000000001,1.0,True,0.0,871.238939926328,798.9121596679471,958.6945916015364,0.0,159.78243193358944
13->10,13,10,412,408,5.0,0.15,0.75,4.25,0.0,False,1.0,748.609704913289,740.069320585986,888.0831847031832,0.0,148.01386411719722
13->11,13,11,412,409,7.0,0.15,1.05,5.95,0.0,False,1.0,372.2,372.2,446.64,0.0,74.44
13->12,13,12,412,410,11.0,0.15,1.65,9.35,1.0,True,0.0,249.971,249.971,299.9652,0.0,49.994200000000006
13->14,13,14,412,414,12.0,0.85,10.2,1.8000000000000003,1.0,True,0.0,594.16,594.16,712.992,0.0,118.832
