network,eta_exposure,is_default,status,algorithm,construction_cost,total_coverage,protected_coverage,unprotected_coverage,protected_exposure_burden,unprotected_exposure_burden,exposure_gap,coverage_satisfied,exposure_constraint_satisfied,service_80_80_satisfied,num_ods,runtime_seconds
small,0.0,False,TIME_LIMIT,exact_gurobi_milp,5808.739774450781,0.8001491424310216,0.7939549839228291,0.8026778682068783,0.3263827772663664,0.3263986402920624,-1.5863025696005728e-05,True,True,True,177,36000.06817817688
large,0.0,False,FEASIBLE_HEURISTIC,constraint_repair_alns_cost_min,24780.74310875778,0.8004625735912532,0.8028786890000743,0.799475850632236,0.292751844942048,0.29286275110974863,-0.00011090616770065287,True,True,True,711,36012.579007864
small,0.05,True,TIME_LIMIT,exact_gurobi_milp,5679.427285110705,0.8001491424310216,0.7705466237942118,0.8122341822000525,0.3618025463310107,0.3203079429004383,0.04149460343057243,True,True,True,177,36000.06499195099
large,0.05,True,FEASIBLE_HEURISTIC,constraint_repair_alns_cost_min,23083.044746943367,0.8000420521446594,0.7645928504096888,0.8145192336166283,0.3287127907508131,0.27963691609349123,0.04907587465732188,True,True,True,711,36008.496145009995
small,0.1,False,TIME_LIMIT,exact_gurobi_milp,5673.903029868684,0.8016405667412378,0.7281028938906748,0.8316618535048569,0.3953863911033024,0.2967980296388028,0.09858836146449962,True,True,True,177,36000.074477910995
large,0.1,False,FEASIBLE_HEURISTIC,constraint_repair_alns_cost_min,22172.977964130747,0.8004625735912532,0.7282648103835846,0.8299475850632213,0.3693389118112407,0.269518870022464,0.09982004178877668,True,True,True,711,36001.0226252079
