network,budget_gamma,is_default,status,algorithm,budget,construction_cost,unused_budget,total_coverage,protected_coverage,unprotected_coverage,protected_exposure_burden,unprotected_exposure_burden,exposure_gap,coverage_satisfied,service_80_80_satisfied,num_ods,runtime_seconds
small,1.2,False,OPTIMAL,exact_gurobi,6202.835999999999,6202.697208145885,0.1387918541140607,0.8023862788963461,0.8761414790996783,0.7722761879758464,0.20858386901080664,0.30869561611030516,-0.10011174709949852,True,True,177,11244.536039829254
large,1.2,False,FEASIBLE_HEURISTIC,budget_constrained_alns_protected_exposure_with_coverage,23363.627999999997,23363.240395149147,0.38760485085003893,0.836417157275021,0.7037198172721355,0.890609730818204,0.3666816597767498,0.1947264094032725,0.17195525037347734,True,True,711,36000.665519952774
small,1.5,True,OPTIMAL,exact_gurobi,7753.545,7752.423471708534,1.1215282914663476,0.8978374347501864,0.9309324758842442,0.8843265949067994,0.08353513566752324,0.14442414921128838,-0.060889013543765136,True,True,177,2817.437339067459
large,1.5,True,FEASIBLE_HEURISTIC,budget_constrained_alns_protected_exposure_with_coverage,29204.534999999996,29200.188922694753,4.346077305242943,0.87973086627418,0.8240881734464525,0.9024549142704834,0.25512018177884166,0.1731151663141152,0.08200501546472647,True,True,711,36001.978397846222
small,1.8,False,OPTIMAL,exact_gurobi,9304.253999999999,9293.272892531006,10.981107468993287,0.9947800149142431,0.984694533762058,0.998897348385403,0.019837526587686987,0.011179698514979047,0.00865782807270794,True,True,177,490.25946593284607
large,1.8,False,FEASIBLE_HEURISTIC,budget_constrained_alns_protected_exposure_with_coverage,35045.441999999995,35045.222322843685,0.2196771563103539,0.9781328847771237,0.9617866724675522,0.9848085522224521,0.11035737873602246,0.07545837849129373,0.03489900024472872,True,True,711,36001.168404102325
